F1,Precision,Recall
0.021980739730494848,0.014634146341463285,0.07590152800678898
0.02180123268490972,0.014506892895015791,0.07684856629185212
0.021078932660255564,0.013955461293743256,0.07574071886655374
0.02111253110000791,0.014114528101802647,0.07150198851163005
0.021415847682453686,0.014337221633085779,0.07379469728115869
0.02105493646667592,0.01408271474019076,0.0721233090687419
0.021872962445411925,0.014612937433722042,0.07603666502437761
0.022649215573518417,0.015100742311770813,0.07838818358491977
0.021383034665461775,0.014347826086956417,0.07220673684346988
0.022331898258444078,0.014941675503711442,0.07739326809240697
0.02191505467963138,0.014655355249204556,0.07714625496137968
0.02266946499527379,0.015005302226935186,0.08052705496845557
0.022027302421894338,0.014803817603393311,0.07449752599906402
0.021533406095724357,0.014443266171792027,0.07483555636684214
0.022267756488744756,0.014793213149522684,0.07964053987979322
0.021853874778489612,0.014634146341463303,0.07566727006755936
0.021326718248257787,0.014316012725344524,0.07148662393228238
0.020988542873559227,0.014072110286320149,0.07123927189894302
0.021657921273294068,0.014485683987274529,0.07624223152322536
0.022533715762759452,0.015037115588547069,0.07894041982165838
0.02226686521231182,0.014846235418875796,0.07880099289235397
0.022149014253070403,0.014697773064687048,0.07835787808904017
0.02115810604551815,0.014072110286320135,0.07481897059065633
0.022227617765613456,0.014814422057263927,0.07913465705616787
0.022842859167706994,0.015312831389183329,0.07628712368072658
0.021637794012848512,0.014464475079533284,0.0735386423078851
0.02154789945443679,0.01428419936373264,0.07819627865703332
0.02233205438833854,0.01497348886532331,0.07601333315345693
0.021490090847980342,0.014369034994697662,0.07414637877945668
0.022377522181333317,0.01496288441145269,0.07680979133946779
0.021947087267996032,0.014655355249204548,0.07675690297128297
0.02091554426395273,0.013997879109225758,0.07048390975796318
0.021148115910454846,0.014146341463414517,0.07272908174496484
0.02076221475461656,0.013860021208907643,0.07371642175002634
0.021236162394902978,0.014209968186638285,0.0711177106384179
0.021921389778207505,0.014581124072110166,0.07711191235252247
0.02179869176075645,0.014538706256627657,0.07824555018464513
0.022303167039776375,0.01484623541887581,0.07791586678272422
0.021379290954800987,0.014231177094379524,0.0733823504101806
0.022384628779760114,0.01501590668080581,0.07749574101118407
0.02130411969555226,0.014252386002120766,0.07242036236594047
0.02261423931934924,0.015143160127253325,0.07880422874986726
0.021704308271463642,0.01454931071049829,0.07436132526572792
0.021238079804948344,0.014167550371155769,0.07252878056330099
0.021768871546247785,0.014549310710498302,0.07576465970461715
0.021379521432496964,0.014294803817603289,0.07430686864634269
0.021763392615113286,0.01459172852598078,0.07549560711054715
0.022006492384764317,0.014612937433722046,0.07924735164733418
0.021534215577144897,0.014252386002120757,0.0778070374900251
0.0222577588425868,0.01489925768822894,0.07671959525491533
0.021241030921073357,0.014220572640508904,0.07206329333400706
0.021073520322187764,0.014220572640508904,0.07127735148173614
0.023273512476839828,0.015620360551431496,0.07892875125275635
0.021787197272151105,0.014464475079533287,0.07667862273936103
0.02248505427376209,0.015047720042417691,0.07662236116490471
0.021898511829027082,0.014496288441145162,0.07613583765451862
0.021530401335050218,0.014422057264050794,0.07336625136872071
0.021648679610919923,0.014464475079533284,0.07590005329569557
0.02090869788986394,0.01379639448568386,0.07724101363188847
0.021537760979178967,0.014337221633085786,0.07432899089795153
0.021020761835501372,0.01404029692470826,0.0724528337907655
0.022298243097521042,0.01496288441145269,0.07688029836431715
0.022800828813101526,0.015206786850477085,0.08019164522828104
0.022051593891173175,0.014708377518557683,0.0769756804218956
0.02250038737014172,0.01495227995758207,0.0786901303268345
0.022171375132898925,0.014782608695652065,0.0774143694800944
0.021975390313255384,0.014665959703075179,0.07629792464794335
0.02194977261927356,0.014623541887592672,0.07846940802267313
0.021998152090841706,0.014644750795333913,0.0778443555852441
0.02185268555697243,0.014581124072110166,0.0768808139014359
0.021119193854623814,0.014061505832449521,0.07406968488155524
0.02181929687524947,0.014538706256627665,0.07536641530332737
0.021242040943010035,0.014103923647931997,0.07441546659349672
0.022359245104989347,0.014909862142099552,0.07881208636015363
0.022150029334677315,0.014644750795333918,0.07884187783421044
0.02087786350619549,0.013976670201484501,0.07250149550982597
0.02209433112547834,0.014655355249204534,0.078267905100352
0.021643564232053707,0.014517497348886408,0.07510806760350992
0.02197396740021353,0.014634146341463285,0.07780196484217844
0.02140928569599193,0.014358430540827019,0.07358819352440849
0.02071858182538314,0.013902439024390131,0.07037970124162259
0.020883210151417548,0.014040296924708253,0.07172069132361664
0.02140292660563061,0.01436903499469766,0.0729434687132707
0.02157407965622139,0.014316012725344524,0.07571336634639676
0.022034333982285898,0.014559915164368907,0.07742488143212752
0.02299664493647278,0.015450689289501461,0.07700564394244606
0.020942191582219605,0.013955461293743254,0.07372990957926297
0.021666766608518417,0.014464475079533296,0.0741073616681631
0.021219014443719163,0.01427359490986203,0.07209642448822155
0.02243538056876151,0.014899257688228935,0.0804710845443953
0.022252893791274264,0.014846235418875798,0.0772080178447111
0.02196519288798139,0.014528101802757034,0.07677556901103137
0.021186469677599296,0.014252386002120775,0.07135265914403718
0.02138920789423908,0.01425238600212078,0.07722613374025267
0.021950110647834732,0.014687168610816415,0.0749382018643265
0.021806207360444165,0.01461293743372204,0.07587700164730193
0.021016526804329725,0.014125132555673272,0.0713745510161331
0.02240046076107896,0.014973488865323304,0.07871679979285282
0.021353090510086242,0.01431601272534453,0.07203823761726288
