neighbours,center,MAE
47.31260921987756,True,0.7285144242098557
84.1782498037066,True,0.7322486672742822
51.44370756765709,False,0.7288068843750228
75.0189248141096,False,0.7277620453138514
89.88040815692473,False,0.7284380876732209
18.55236207545649,False,0.7328754461273815
36.0624636064438,True,0.7181993005140163
93.66899004259368,True,0.7247488387959695
74.36212879557988,True,0.7317698258783608
24.120971298705623,True,0.7258073496542986
45.687793925690336,True,0.7299012757049876
62.648324040387564,True,0.7266272698760463
80.36273623461587,False,0.7305326058763257
57.44185582420559,True,0.7273975096173284
65.69372061901387,True,0.7303763163014513
97.57794968420689,True,0.7282765018242691
90.66659027126806,True,0.7294212748420942
69.16832543812282,False,0.7293851589732034
36.20319452323676,True,0.7282033254560651
12.236802673061863,False,0.7318888744392691
31.569956138154758,True,0.7267993094592732
2.5661771553456987,True,0.8345712753783116
38.00105059673382,True,0.728092586394436
8.816794091195156,True,0.7464204862738586
23.450381369171062,True,0.7256054382185738
98.93521763274217,True,0.7294841384556924
55.343965150671444,True,0.7262822610763808
42.083214843592565,True,0.7315780408539855
33.0276659233283,True,0.7227412523337438
29.32506618801545,True,0.7268528577796814
16.367327958720182,True,0.7337268448678341
51.51425859860258,True,0.7275185472105532
31.791444877614847,False,0.7321854817753036
45.4221902189163,True,0.7219089388480203
43.89220834981673,False,0.7231038370700391
3.3248285243324247,True,0.7917581869734469
58.89779424084626,False,0.7258386123265956
50.00346786070149,True,0.7300904088749623
24.8272191918101,True,0.7265964764995201
40.91806800951004,True,0.7258958361663356
73.145960059873,False,0.7322590052442354
48.25986095936216,True,0.7267348812004115
19.54833963068582,True,0.7250354446904972
78.34845164068818,False,0.7271330554458113
85.09994368902022,True,0.730275006555455
63.10076470545983,True,0.7311903734891299
53.02047501992705,True,0.7260163149695121
28.110556553718492,False,0.7317623180527818
37.923212954017615,True,0.7295503899115086
67.67948683371282,True,0.731862448028633
8.287783556022184,True,0.7459667454086858
59.70010880347347,False,0.7195266141841113
60.670818253579036,False,0.7262254692331674
71.13175386924739,False,0.7334528604229719
80.99804298450888,False,0.7267253696905271
87.61937874053758,False,0.7229709972853415
65.16525823788295,False,0.7293497013519381
35.21552558129429,False,0.7267819572072741
75.79560097093676,False,0.7302027794435606
14.756509784680603,False,0.7302902755848942
53.2828040001813,False,0.7279276319625646
47.30206936632774,False,0.7274172585586915
94.36971040177438,False,0.7295664261016706
22.809083264795213,False,0.7298954074854946
39.851433170245045,False,0.7243807765183692
59.40154100491364,True,0.7284187113396887
55.62545358502055,True,0.729473395796131
44.02592674246789,True,0.733053941848405
27.731952928330102,True,0.7338136514696135
34.63554768592256,True,0.725303036942121
44.430759741002646,True,0.7238350008364173
48.30781436315391,True,0.7217545298497066
49.76913136130357,True,0.7223567697892536
62.58083695617307,True,0.7251094322313857
55.59706416864999,True,0.7290034376864937
38.401567167386766,False,0.7222328032924068
30.93380064695599,True,0.7260156726250461
70.5914871013121,True,0.7312693599914971
21.211562996961927,False,0.7303507652059662
25.597770430442996,True,0.7333130716204442
66.40081327448812,True,0.7259287071264212
42.06101907923038,False,0.7248188576648625
46.763018853084276,True,0.7264291798047343
52.78194376820827,True,0.7271290749460947
57.64557021594877,False,0.729252753985839
6.21366448193924,True,0.74811878717781
76.46036149851714,True,0.7352088227386959
81.42202380895515,False,0.72772512079786
18.17312364655721,True,0.7252470466213813
63.78614339652376,False,0.7265518896994396
12.317932272042093,True,0.7399460263740877
73.37227124804764,False,0.7295657623108965
61.23681413786268,True,0.7323669450067456
49.48735579840182,False,0.7283374426809273
38.050669813417365,True,0.7327875066515455
32.891851652485244,True,0.724120691692039
68.63141515974215,False,0.7274576085384734
30.170426615710824,True,0.7252821130746822
26.858582790586375,False,0.7251062920437867
84.6248919407526,True,0.730774494632777
